이름,외국인 등록번호,능력 추정치 (theta)
Gulnara,3490941780,-0.7255743411254433
Dilnoza,4870107052,-0.3121240356462392
Ali,8426465635,-1.114182323576095
Narantuya,7784311902,-1.5195127525399874
Preecha,5452114233,0.1627504856037991
Jose,9112360080,-0.8531940419751473
Liu Yang,9791149642,0.6465165275370227
Bat,4009665802,0.9856876754792806
Wang Fang,3968526573,-0.16989753498916849
Rosa,8501005974,-1.358345388733529
Enkhbayar,7353609335,-1.4215300861358762
Li Wei,1354266806,0.4987667886667042
Chai,4578110142,-1.0321248157271
Aziz,5514430492,-1.067787896811935
Hoang,8751806549,-1.9019546608185678
Preecha,2541465566,-1.5204239024397324
Jose,875053490,-1.3448434919347423
Wang Fang,4755716262,-1.259338335619766
Wang Fang,814900276,0.13308262507859908
Liu Yang,5621119327,0.2175986345363788
Chen Jie,6033437692,-0.7869409557223925
Rustam,9402890323,-1.1923755382625596
Le,9656914669,-2.309697925233033
Maria,3809829570,0.4804302339429507
Le,2563731859,0.617551389743547
Enkhbayar,1256620396,0.750699612110586
Li Wei,5849278990,-1.4292786060741176
Ali,3913831092,-2.3692239803233677
Hoang,8307065543,-0.7618889083304606
Chen Jie,3352440382,0.8962626574065381
