이름,외국인 등록번호,능력 추정치 (theta)
Gulnara,3490941780,0.15989455334710334
Dilnoza,4870107052,-0.03414578547178392
Ali,8426465635,-0.3431585235153171
Narantuya,7784311902,-0.020773362372757474
Preecha,5452114233,1.4072672997763593
Jose,9112360080,0.6318626262854402
Liu Yang,9791149642,0.39177192234739444
Bat,4009665802,1.4142899624124083
Wang Fang,3968526573,-0.5520785488485223
Rosa,8501005974,-0.366799596258521
Enkhbayar,7353609335,-0.8902443925108617
Li Wei,1354266806,0.4296286366139837
Chai,4578110142,-0.027871462006506097
Aziz,5514430492,0.19050389948432966
Hoang,8751806549,-0.5555901600323849
Preecha,2541465566,-0.8883724967412276
Jose,875053490,-0.9012970816675969
Wang Fang,4755716262,-0.9139715907129451
Wang Fang,814900276,-0.30856226901803907
Liu Yang,5621119327,-0.34289532346844753
Chen Jie,6033437692,-0.5555866130553332
Rustam,9402890323,-0.8702555439809747
Le,9656914669,-0.5563068712979665
Maria,3809829570,0.4129554283472028
Le,2563731859,0.9171962701194489
Enkhbayar,1256620396,0.15233116329081786
Li Wei,5849278990,-0.884425303746272
Ali,3913831092,-0.3721844317676357
Hoang,8307065543,-0.38980408249277443
Chen Jie,3352440382,0.19297229728746182
