외국인 등록번호,이름,성별,나이,국적,거주지,직업,한국어 수준,점수,OX리스트,득점리스트,선택답안,문항코드리스트,문항배점리스트
3490941780,Gulnara,남,36,우즈베키스탄,울산,노동자,2,22.5,XXXXXOXXOXXOXXXOXOXXOXOXXXXXOOOXXXOXXXOOXXXXXXXXOO,"0,0,0,0,0,1.5,0,0,1.5,0,0,1.5,0,0,0,1.5,0,1.5,0,0,1.5,0,1.5,0,0,0,0,0,1.5,1.5,1.5,0,0,0,1.5,0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,1.5,1.5","4,1,1,4,1,3,4,3,2,4,1,2,2,1,4,4,1,1,2,2,1,1,3,2,4,3,1,3,3,3,3,3,3,4,3,4,2,3,3,4,4,3,1,3,1,1,4,3,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
4870107052,Dilnoza,여,52,우즈베키스탄,광주,예술가,3,21.0,XXXXXXXXXXOOOOOXXXXXXXXOXOXOOXOOXXXXXXXXXOXXOXXOXX,"0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,1.5,0,1.5,0,1.5,1.5,0,1.5,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,1.5,0,0","3,3,2,4,3,2,4,2,4,3,4,2,3,3,3,2,2,3,4,2,2,2,2,3,4,4,2,2,3,1,3,4,1,2,1,1,1,1,4,1,1,2,1,3,2,4,2,4,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
8426465635,Ali,남,18,우즈베키스탄,인천,예술가,1,9.0,XXXOXXXXXXXXXXOXXXXOXXXXXXXXOXOXXXXXXXXXOXXXXXXXXX,"0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0","2,4,2,3,3,2,2,2,3,3,3,3,4,2,3,2,2,3,1,3,2,4,2,4,1,2,1,4,3,1,3,2,3,4,1,4,2,3,1,2,2,4,4,3,4,2,3,3,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
7784311902,Narantuya,남,37,몽골,울산,예술가,2,10.5,XXXOOXXXXXXXXOXXXXXXXXXXXXXXXXXOXXXXXXOXXXXXXXXXOO,"0,0,0,1.5,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,1.5","2,1,1,3,4,4,2,2,3,4,1,1,2,3,2,2,4,4,4,1,2,4,4,1,2,1,3,4,2,4,1,4,4,2,2,4,4,1,3,2,4,4,4,1,4,4,3,2,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
5452114233,Preecha,남,18,태국,대구,언어연수,4,31.5,OOXOXXXOOXOXXXXXOXXXOOXXXOXXOOXOXOXXOXXOOOOOXOXXXX,"1.5,1.5,0,1.5,0,0,0,1.5,1.5,0,1.5,0,0,0,0,0,1.5,0,0,0,1.5,1.5,0,0,0,1.5,0,0,1.5,1.5,0,1.5,0,1.5,0,0,1.5,0,0,1.5,1.5,1.5,1.5,1.5,0,1.5,0,0,0,0","1,2,1,3,2,4,1,1,2,2,4,3,1,4,2,2,3,3,4,4,1,3,2,2,1,4,1,1,3,3,1,4,3,3,1,3,3,2,4,4,2,2,3,2,1,3,3,1,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
9112360080,Jose,여,35,필리핀,부산,노동자,3,45.0,OXOXXOOXXXOOOOXXOOXOOOOXOOOOXOOXXOOOXOXOOOXXOXOXOX,"1.5,0,1.5,0,0,1.5,1.5,0,0,0,1.5,1.5,1.5,1.5,0,0,1.5,1.5,0,1.5,1.5,1.5,1.5,0,1.5,1.5,1.5,1.5,0,1.5,1.5,0,0,1.5,1.5,1.5,0,1.5,0,1.5,1.5,1.5,0,0,1.5,0,1.5,0,1.5,0","1,3,3,2,3,3,3,2,3,2,4,2,3,3,2,2,3,1,4,3,1,3,3,4,3,4,4,2,1,3,3,2,4,3,3,2,2,4,2,4,2,2,1,1,2,1,1,3,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
9791149642,Liu Yang,여,18,중국,광주,예술가,5,46.5,XXOOXOOOOOXXOOXOXOXXXOOOXOXOOOOOOXXOOOXOOOOXXXOXOO,"0,0,1.5,1.5,0,1.5,1.5,1.5,1.5,1.5,0,0,1.5,1.5,0,1.5,0,1.5,0,0,0,1.5,1.5,1.5,0,1.5,0,1.5,1.5,1.5,1.5,1.5,1.5,0,0,1.5,1.5,1.5,0,1.5,1.5,1.5,1.5,0,0,0,1.5,0,1.5,1.5","3,1,3,3,2,3,3,1,2,1,3,4,3,3,4,4,2,1,2,4,2,3,3,3,2,4,1,2,3,3,3,4,2,2,4,2,3,4,1,4,2,2,3,3,3,2,1,1,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
4009665802,Bat,여,36,몽골,인천,언어연수,3,34.5,XXXOOXOOXXOXXXOXOOXOXXOOOOOXXXXOXOXXXOOXXOOOXXXOOX,"0,0,0,1.5,1.5,0,1.5,1.5,0,0,1.5,0,0,0,1.5,0,1.5,1.5,0,1.5,0,0,1.5,1.5,1.5,1.5,1.5,0,0,0,0,1.5,0,1.5,0,0,0,1.5,1.5,0,0,1.5,1.5,1.5,0,0,0,1.5,1.5,0","2,4,1,3,4,1,3,1,4,4,4,1,4,2,3,3,3,1,2,3,3,2,3,3,3,4,4,1,4,2,2,4,3,3,2,1,2,4,3,2,3,2,3,2,3,2,2,4,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
3968526573,Wang Fang,남,18,중국,서울,유학,3,48.0,OXXOOOXOOXOOOXOOOOOXOOOOOXOOOOXOOXOXOXOXXXOOOXXXOX,"1.5,0,0,1.5,1.5,1.5,0,1.5,1.5,0,1.5,1.5,1.5,0,1.5,1.5,1.5,1.5,1.5,0,1.5,1.5,1.5,1.5,1.5,0,1.5,1.5,1.5,1.5,0,1.5,1.5,0,1.5,0,1.5,0,1.5,0,0,0,1.5,1.5,1.5,0,0,0,1.5,0","1,1,1,3,4,3,2,1,2,3,4,2,3,4,3,4,3,1,3,1,1,3,3,3,3,3,4,2,3,3,4,4,2,2,3,4,3,2,3,2,1,3,3,2,2,1,4,2,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
8501005974,Rosa,여,32,필리핀,부산,언어연수,1,12.0,XXXXXXXXXXXXXXOXXOXXOXXXOXXXXXXXXXXXXXOXXOXXOOXXXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,0,0,1.5,1.5,0,0,0,0","4,1,4,1,3,1,2,4,4,3,1,3,2,4,3,3,1,1,1,1,1,1,4,4,3,3,3,4,1,4,2,3,3,2,2,4,4,2,3,2,4,2,1,4,2,3,3,1,0,0","24774,26323,23775,41723,46770,3874,46382,29517,15781,29246,47523,38875,24641,16393,22367,1315,30127,43336,20182,6230,38624,46240,35182,39059,137,46001,31183,27735,19409,9570,34826,7728,3464,25679,2684,46472,34980,25779,24662,10637,24251,6612,21967,44773,23024,7796,22360,5120,43808,26269","1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5"
