외국인 등록번호,이름,성별,나이,국적,거주지,직업,한국어 수준,점수,OX리스트,득점리스트,선택답안,문항코드리스트,문항배점리스트
3490941780,Gulnara,남,36,우즈베키스탄,울산,노동자,2,13,OOOOO,"5,1,1,4,2","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
4870107052,Dilnoza,여,52,우즈베키스탄,광주,예술가,3,6,OOOOO,"1,2,0,1,2","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
8426465635,Ali,남,18,우즈베키스탄,인천,예술가,1,16,OOOOO,"1,1,5,5,4","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
7784311902,Narantuya,남,37,몽골,울산,예술가,2,19,OOOOO,"5,4,1,5,4","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
5452114233,Preecha,남,18,태국,대구,언어연수,4,5,OOOOO,"0,1,3,0,1","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
9112360080,Jose,여,35,필리핀,부산,노동자,3,15,OOOOO,"3,0,5,2,5","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
9791149642,Liu Yang,여,18,중국,광주,예술가,5,11,OOOOO,"0,0,5,3,3","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
4009665802,Bat,여,36,몽골,인천,언어연수,3,8,OOOOO,"0,5,1,1,1","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
3968526573,Wang Fang,남,18,중국,서울,유학,3,9,OOOOO,"3,2,2,1,1","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
8501005974,Rosa,여,32,필리핀,부산,언어연수,1,15,OOOOO,"4,2,0,5,4","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
7353609335,Enkhbayar,남,28,몽골,서울,예술가,2,16,OOOOO,"3,3,2,5,3","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
1354266806,Li Wei,남,47,중국,부산,유학,4,12,OOOOO,"1,3,5,0,3","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
4578110142,Chai,여,23,태국,대전,언어연수,2,18,OOOOO,"5,4,5,2,2","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
5514430492,Aziz,남,35,우즈베키스탄,대구,유학,1,8,OOOOO,"0,3,2,1,2","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
8751806549,Hoang,남,30,베트남,대구,노동자,1,12,OOOOO,"2,5,3,1,1","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
2541465566,Preecha,남,37,태국,인천,유학,1,18,OOOOO,"2,5,2,5,4","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
875053490,Jose,여,43,필리핀,대전,예술가,1,16,OOOOO,"5,4,2,2,3","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
4755716262,Wang Fang,남,18,중국,대전,예술가,1,15,OOOOO,"4,5,5,1,0","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
814900276,Wang Fang,남,41,중국,울산,노동자,3,8,OOOOO,"0,0,5,1,2","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
5621119327,Liu Yang,여,18,중국,서울,유학,3,4,OOOOO,"0,1,0,2,1","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
6033437692,Chen Jie,남,54,중국,서울,노동자,3,15,OOOOO,"1,4,4,3,3","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
9402890323,Rustam,여,50,우즈베키스탄,부산,예술가,1,16,OOOOO,"3,2,4,2,5","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
9656914669,Le,남,18,베트남,울산,노동자,1,20,OOOOO,"4,3,5,4,4","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
3809829570,Maria,여,37,필리핀,인천,노동자,3,16,OOOOO,"3,5,2,2,4","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
2563731859,Le,남,18,베트남,대전,유학,4,8,OOOOO,"0,2,1,1,4","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
1256620396,Enkhbayar,여,21,몽골,울산,노동자,3,20,OOOOO,"3,4,5,5,3","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
5849278990,Li Wei,여,29,중국,대구,노동자,1,18,OOOOO,"1,4,5,5,3","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
3913831092,Ali,여,39,우즈베키스탄,울산,노동자,1,7,OOOOO,"3,3,0,0,1","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
8307065543,Hoang,남,27,베트남,광주,노동자,2,14,OOOOO,"5,2,3,2,2","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
3352440382,Chen Jie,남,41,중국,부산,예술가,3,17,OOOOO,"4,4,3,5,1","0,0,0,0,0","49789,39486,39602,35433,20012","5,5,5,5,5"
