이름,외국인 등록번호,나이,성별,국적,거주지,직업,한국어 수준
Le,9646391427,19,남,베트남,대구,예술가,1
Nguyen,3950346592,28,여,베트남,서울,유학,4
Aziz,4488336016,18,남,우즈베키스탄,부산,노동자,2
Hoang,6606253001,45,여,베트남,서울,유학,5
Enkhbayar,6966576745,18,여,몽골,대전,예술가,1
Ali,2211860896,30,남,우즈베키스탄,대전,유학,1
Supalak,0846060779,42,여,태국,울산,언어연수,1
Dilnoza,9749980751,26,남,우즈베키스탄,광주,예술가,5
Wang Fang,5465437128,55,남,중국,울산,언어연수,3
Wang Fang,6091076941,33,여,중국,서울,예술가,4
Zhang Lei,9228174159,38,여,중국,대구,언어연수,6
Grace,1752932917,21,남,필리핀,부산,언어연수,4
Grace,6144883461,38,남,필리핀,대구,노동자,2
Tsetsgee,1436997311,18,남,몽골,인천,언어연수,1
Tsetsgee,3983257796,20,여,몽골,대전,예술가,1
Gulnara,8491781144,18,여,우즈베키스탄,대전,노동자,5
Gulnara,4662399991,25,남,우즈베키스탄,대구,유학,3
Carlos,6394060361,32,남,필리핀,인천,언어연수,2
Supalak,0861001026,26,여,태국,인천,노동자,2
Grace,0986195194,32,남,필리핀,광주,언어연수,2
Rosa,1207437625,18,남,필리핀,울산,노동자,2
Anong,9141245482,41,남,태국,인천,유학,1
Narantuya,7931855656,30,여,몽골,서울,언어연수,4
Batzorig,3617253727,18,남,몽골,부산,예술가,1
Batzorig,9218747877,60,여,몽골,인천,언어연수,7
Carlos,4668407987,29,여,필리핀,울산,언어연수,4
Supalak,0897222540,45,여,태국,광주,언어연수,8
Grace,1675501391,34,남,필리핀,광주,유학,3
Jose,6152882714,37,남,필리핀,대전,노동자,3
Ali,7917947443,46,남,우즈베키스탄,서울,예술가,2
Dilnoza,4262042349,35,여,우즈베키스탄,울산,노동자,2
Enkhbayar,5665627327,44,남,몽골,광주,유학,2
Chai,2031722760,18,여,태국,대전,노동자,7
Dilnoza,7643502302,29,여,우즈베키스탄,부산,노동자,7
Maria,0508212413,54,남,필리핀,울산,유학,3
Phan,5842365139,60,여,베트남,서울,언어연수,1
Chen Jie,2506137649,58,여,중국,대전,언어연수,1
Anong,7880959145,18,남,태국,대전,언어연수,7
Rustam,3847741623,18,남,우즈베키스탄,울산,예술가,3
Zhang Lei,5137241745,59,여,중국,부산,언어연수,2
Enkhbayar,0430172883,30,남,몽골,부산,언어연수,1
Tran,3377951039,18,남,베트남,서울,유학,7
Wang Fang,3821644959,23,남,중국,대구,노동자,7
Jose,5322921647,32,남,필리핀,인천,예술가,2
Rosa,5297679708,31,여,필리핀,대전,노동자,1
Nguyen,1451305707,28,남,베트남,대구,언어연수,4
Wang Fang,6159753239,24,여,중국,울산,유학,3
Preecha,6692425725,43,여,태국,인천,유학,4
Gulnara,7237666673,32,여,우즈베키스탄,울산,노동자,1
Rustam,2410239565,37,여,우즈베키스탄,대전,언어연수,1
Batzorig,3355589578,25,여,몽골,서울,노동자,5
Zhang Lei,0672012256,23,여,중국,대전,노동자,3
Enkhbayar,7540159536,26,남,몽골,부산,언어연수,5
Gulnara,1875664953,46,남,우즈베키스탄,울산,노동자,1
Tran,3774421000,34,여,베트남,대구,예술가,1
Chai,5188487855,32,남,태국,대전,유학,3
Maria,8063375824,40,남,필리핀,부산,유학,3
Nguyen,2644316107,38,남,베트남,대구,유학,5
Carlos,0659876280,18,남,필리핀,서울,유학,1
Somchai,4814171927,18,남,태국,서울,유학,2
Phan,8685828327,18,남,베트남,대구,노동자,1
Somchai,2072371998,21,남,태국,대구,노동자,5
Supalak,6286440541,58,남,태국,부산,노동자,1
Liu Yang,6682008723,21,남,중국,인천,예술가,8
Chen Jie,5422988917,18,여,중국,대전,언어연수,9
Chen Jie,6204491467,25,여,중국,서울,언어연수,1
Aziz,1972923220,42,남,우즈베키스탄,부산,유학,1
Carlos,8174142512,42,남,필리핀,광주,유학,1
