외국인 등록번호,이름,OX리스트,선택답안,점수,결과
3490941780,Gulnara,XXOXOXOXOOOXXXXXOXOXOXXXXOXXXXXOXXOOOXOXOXXOXXXOXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",61.67,통과
4870107052,Dilnoza,XXXOXXOOOOOXOXXOOOXOOOOXOOXXOOXXOXOOOXOXXXOXXXOXOX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",79.25,통과
8426465635,Ali,XXOXXXXXXOXXXXXXXXOXXXXXXXXXXXXXXXOXOOXXXXXXOXXXXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",36.26,
7784311902,Narantuya,OXXXXXXOXOXXXOXOXXXXXOOXXXXOXOXXOXOOXXOXXOXXOOOXXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",77.4,통과
5452114233,Preecha,OOOXXXXOXOXOOXOXOXXXXOXXXOXXXXOXXOOXOXOXOOOXXXOOOO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",65.16,통과
9112360080,Jose,XXOXOOXXXOXXXOOXOXOXXXOXXXXOXXOXOOXOOXOXOOXOXXOOXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",35.68,
9791149642,Liu Yang,XOOOOOOOOOOXXOOOOOOOXXOOOOXOOOOOOOXOOOOXXXOOXOXOOO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",66.92,통과
4009665802,Bat,XXXOOOOXXXOXOXXOXXXOXXOOXXOOOOXXOXXXOOXXOXOOOOXXOO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",67.54,통과
3968526573,Wang Fang,XXOXXOXXOOXOXXXXXXOOXXXOXOOXXXXOXXXOOXOOXOOXXXOOXO,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",52.61,
8501005974,Rosa,XOXXXXXXXXXXXOXXXXXXXXXXXXXXXXXXXXXXOXXXXXXXXXXOXX,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",70.39,통과
